Day, Time, Moisture 1, Moisture 2, Moisture 3, Moisture 4, Moisture 5, Moisture 6, Moisture 7, Moisture 8, Moisture 9, Moisture 10, 
2026-3-11, 15-28-6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-28-56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-29-47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-30-37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-31-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-32-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-33-8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-33-58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-34-49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-35-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-36-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-37-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-38-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-39-0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-39-51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-40-41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-41-31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-42-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-43-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-44-2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-44-53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-45-43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-46-33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-47-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-48-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-49-4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-49-55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-50-45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-51-35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-52-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-53-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-54-6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-54-57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-55-47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-56-37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-57-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-58-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-59-8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 15-59-59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 16-0-49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2026-3-11, 16-1-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
